Word,PC1,PC2,PC3,PC4,PC5
10,-0.000945,0.011627,-0.002191,-0.001182,-0.022957
ability,-0.006547,0.008998,-0.018993,0.016315,0.007115
able,-0.005336,0.002842,-0.009148,0.024319,0.006093
absence,-0.001057,0.004062,-0.007176,-0.000853,0.007523
abstract,0.001253,0.000167,-0.011745,0.001389,0.014417
access,-0.000718,0.002828,-0.008494,-0.003744,0.007841
according,0.003546,0.002180,-0.010617,-0.001563,0.007381
account,-0.006160,0.004327,-0.036013,-0.052823,0.056667
accounts,-0.000064,0.003281,-0.010900,-0.016326,0.025893
accuracy,-0.000428,0.005087,-0.010758,0.026310,-0.004511
accurate,-0.001136,0.004213,-0.007293,0.014920,0.004304
achieve,-0.001132,0.001836,-0.007124,0.016172,0.005249
achieving,-0.001533,0.002546,-0.007709,0.013150,0.005205
act,-0.003187,-0.001523,-0.008293,0.012477,0.020482
action,-0.037377,-0.014351,-0.044586,0.081095,0.131248
action perception,-0.004390,0.000067,-0.009891,0.004472,0.020629
action selection,-0.006481,-0.002353,-0.003144,0.016533,0.018765
actions,-0.016366,0.006131,-0.020634,0.068102,0.045708
activation,-0.002401,0.006342,-0.006817,0.000094,-0.011032
active,-0.327344,-0.381223,0.230103,-0.063724,0.057911
active inference,-0.306770,-0.372877,0.214721,-0.083418,0.156110
active learning,-0.016643,-0.008235,0.007769,0.048452,-0.058744
actively,-0.003233,0.004218,-0.008091,0.013152,-0.010907
activity,-0.000462,0.021206,-0.033778,-0.002957,-0.019524
adaptation,-0.007944,-0.002934,-0.011040,0.004838,0.014476
adaptive,-0.006028,-0.005776,-0.024052,0.028552,0.011710
addition,0.001387,0.002590,-0.007451,0.000348,-0.001839
additionally,-0.002168,-0.000134,-0.004404,0.010553,-0.000374
address,-0.005571,0.002901,-0.009147,0.015842,0.008467
advances,-0.003529,0.001008,-0.007121,0.001722,0.010863
affect,-0.000602,0.008074,-0.014492,-0.010204,0.011758
affective,-0.005192,0.016108,-0.029309,-0.025893,0.025405
agency,-0.007906,-0.002164,-0.009085,-0.017513,0.010933
agent,-0.033636,-0.009981,-0.023816,0.164646,0.069087
agents,-0.032604,-0.026102,-0.014531,0.154040,0.102103
ai,-0.017879,-0.002243,-0.029061,-0.011349,0.031432
aif,-0.014211,0.003796,-0.019038,0.077682,0.040959
aim,0.000443,0.001632,-0.013485,-0.010320,0.017114
aims,-0.002096,0.002967,-0.009351,-0.000475,0.008300
al,0.008780,-0.008469,-0.007522,-0.045173,-0.071126
algorithm,-0.004069,0.003638,-0.005344,0.067362,-0.028320
algorithms,-0.002295,0.002793,-0.004621,0.027383,-0.006107
alignment,-0.000223,0.004885,-0.011812,-0.003816,0.001753
allocation,-0.010253,0.003933,0.005968,0.008490,-0.043761
allostasis,0.001802,0.003966,-0.009946,-0.012907,0.008662
allostatic,-0.005323,0.002488,-0.004548,-0.020985,-0.008139
allow,-0.000383,0.009084,-0.001167,0.004578,0.002549
allowing,-0.003513,0.000676,-0.006620,0.013744,0.010709
allows,-0.001274,0.005337,-0.010471,0.016441,0.008056
alternative,-0.005593,0.007258,-0.007975,0.013223,0.016079
amp,0.006703,0.003210,-0.001033,-0.004631,-0.014132
analyses,-0.000465,0.004884,-0.005659,0.004507,-0.001468
analysis,0.004233,0.016404,-0.011992,0.004976,-0.026389
anxiety,-0.001343,0.016664,-0.022271,-0.015303,0.006641
application,0.001885,-0.003912,-0.000040,0.019435,-0.020682
applications,-0.003288,0.011562,-0.008055,0.006977,-0.003880
applied,0.002069,0.006298,-0.009580,0.005142,-0.000251
apply,0.000781,0.000384,-0.006442,0.014775,0.005823
applying,0.007218,-0.002710,-0.007803,0.005675,0.001808
approach,-0.020169,0.012152,-0.038318,0.066899,0.007871
approaches,-0.009299,0.010441,-0.026920,0.014422,0.030499
appropriate,0.000306,-0.000888,-0.002682,0.015697,0.004170
approximate,-0.004994,-0.005785,-0.002501,0.009372,0.016298
architecture,-0.007307,0.003055,-0.019685,0.012183,0.016925
architectures,-0.001602,0.003299,-0.012575,0.000425,0.015457
area,0.002779,0.014446,0.001710,0.001295,-0.007331
areas,-0.000552,0.004610,-0.009457,0.000485,0.004841
