Rank,Word,Total Importance Score,PC1 Loading,PC2 Loading,PC3 Loading,PC4 Loading,PC5 Loading
1,expected,1.551754,0.084998,0.487710,0.692370,0.009968,0.276709
2,active inference,1.133896,-0.306770,-0.372877,0.214721,-0.083418,0.156110
3,energy,1.082999,0.402599,-0.142737,0.233876,0.087278,0.216509
4,active,1.060305,-0.327344,-0.381223,0.230103,-0.063724,0.057911
5,inference,1.033299,-0.310750,-0.366954,0.192687,-0.044124,0.118783
6,free,0.905665,0.402487,-0.262028,0.075879,0.086107,0.079164
7,free energy,0.901850,0.359752,-0.274485,0.026413,0.088106,0.153093
8,principle,0.754148,0.323874,-0.243164,-0.044568,-0.049348,-0.093194
9,energy principle,0.579521,0.259375,-0.204799,-0.040814,-0.048403,-0.026130
10,learning,0.573557,-0.082431,-0.051275,-0.024973,0.399182,-0.015696
11,model,0.553279,-0.051290,0.013719,-0.112215,0.218911,0.157144
12,predictive,0.464943,-0.015955,0.021090,-0.088396,-0.130302,0.209200
13,consciousness,0.441574,-0.001504,0.019020,-0.079114,-0.189052,0.152884
14,brain,0.408369,0.032960,0.003573,-0.118443,-0.080286,0.173107
15,cognitive,0.362801,-0.026424,-0.000303,-0.081271,-0.112137,0.142666
16,fep,0.348397,0.052335,-0.013919,-0.080824,-0.048705,0.152614
17,theory,0.332161,0.012606,-0.003885,-0.071423,-0.097417,0.146830
18,agents,0.329379,-0.032604,-0.026102,-0.014531,0.154040,0.102103
19,models,0.322307,-0.040581,0.015686,-0.060986,0.070576,0.134477
20,action,0.308658,-0.037377,-0.014351,-0.044586,0.081095,0.131248
21,agent,0.301168,-0.033636,-0.009981,-0.023816,0.164646,0.069087
22,processing,0.295340,-0.007683,0.029891,-0.064969,-0.081009,0.111787
23,self,0.277256,0.011365,0.016615,-0.095304,-0.071488,0.082484
24,generative,0.270211,-0.023600,-0.009191,-0.038126,0.076024,0.123269
25,predictive processing,0.268936,-0.004253,0.019212,-0.045543,-0.087381,0.112546
26,based,0.240065,0.000346,0.009991,-0.016223,0.141277,-0.072228
27,mind,0.235968,0.022816,-0.016036,-0.035941,-0.082697,0.078476
28,framework,0.233107,-0.025125,0.003252,-0.064097,0.011847,0.128787
29,using,0.227437,-0.011357,-0.012011,-0.012585,0.120481,-0.071002
30,computational,0.214666,-0.022161,0.024374,-0.071333,-0.005756,0.091042
31,social,0.213539,-0.010351,0.029355,-0.055442,-0.097095,0.021296
32,decision,0.209728,-0.028291,-0.003283,-0.012212,0.093471,0.072470
33,data,0.208019,-0.013577,0.035988,-0.033613,0.092537,-0.032305
34,expected free,0.206207,0.008772,0.002720,0.040097,0.075173,0.079445
35,world,0.204027,-0.013324,0.013047,-0.053032,0.059938,0.064685
