Year,Language,Count
2016,R,2
2016,ROS,1
2017,R,1
2017,Python,1
2018,R,4
2018,PyTorch,2
2019,R,7
2019,MATLAB,3
2019,Julia,1
2019,TensorFlow,1
2020,R,14
2020,Python,5
2020,MATLAB,3
2020,PyTorch,2
2020,ROS,1
2020,Julia,1
2020,C++,1
2021,R,28
2021,Python,6
2021,MATLAB,5
2021,PyTorch,5
2021,ROS,3
2021,Julia,1
2021,JAX,1
2021,JavaScript,1
2021,Java,1
2022,R,26
2022,Python,5
2022,MATLAB,5
2022,PyTorch,2
2022,ROS,1
2022,Julia,1
2023,R,47
2023,Python,21
2023,MATLAB,6
2023,PyTorch,3
2023,ROS,3
2023,Julia,4
2023,JAX,1
2023,TensorFlow,2
2024,R,64
2024,Python,23
2024,MATLAB,13
2024,PyTorch,4
2024,ROS,1
2024,Julia,1
2024,Java,1
2025,R,76
2025,Python,30
2025,MATLAB,18
2025,PyTorch,9
2025,ROS,7
2025,Julia,1
2025,JAX,4
2025,TensorFlow,3
2025,ROS2,4
2025,JavaScript,1
