Paper,Tools,Tool Count,Repositories
00012022program,Django,1,6
annicchiarico2024bayesian,AIF,1,1
annicchiarico2025active,AIF + ROS,2,2
annicchiarico2025active2,AIF + ROS,2,2
anonymous2024reviewer,AIF,1,1
anonymous2024reviewer2,AIF,1,1
anonymous2024reviewer3,AIF,1,2
anonymous2025reviewer,AIF,1,2
anonymous2025reviewer2,AIF,1,2
athernodateactive,AIF + ROS,2,1
baioumy2020active,AIF + Gazebo + Unity,3,1
baioumy2022unbiased,AIF,1,1
baioumy2022unbiased2,AIF,1,1
bazargani2025brain,PyTorch + SciPy,2,1
bazargani2025brain2,PyTorch + SciPy,2,1
beckenbauer2025orchestrator,OpenAI Gym,1,1
beckenbauer2025orchestrator2,OpenAI Gym,1,1
bellingrath2024emergence,ROS,1,1
carl2024active,pymdp,1,1
casamayorpujol2025distributed,AIF + pymdp,2,3
casnici2025bioinspired,PyTorch,1,1
cha2025abc3,scikit-learn,1,1
chait2024elife,AIF,1,1
chait2025elife,AIF,1,2
champion2021branching,AIF + OpenAI Gym,2,5
champion2021branching3,OpenAI Gym,1,2
champion2022branching,AIF + OpenAI Gym,2,5
champion2022multimodal,OpenAI Gym,1,4
champion2023deconstructing,OpenAI Gym,1,8
champion2023deconstructing2,AIF + OpenAI Gym,2,8
chen2025effective,JAX + NumPy + PyTorch,3,1
costa2024probabilistic,Flux.jl,1,2
danilenka2024adaptive,PyTorch + pymdp,2,1
danilenka2024adaptive2,AIF + PyTorch + pymdp,3,1
eckert2023active,AIF + OpenAI Gym + SciPy + pymdp,4,1
esaki2024dynamical,AIF + MuJoCo + OpenAI Gym,3,3
fallah2023active,TensorFlow,1,1
fallah2023active2,TensorFlow,1,1
figueira2025comprehensive,Flux.jl,1,8
fisher2025active,AIF,1,1
fishernodateactive,AIF,1,1
fountas2020deep,MuJoCo + OpenAI Gym,2,3
friston2024federated,AIF,1,1
füllsack2023predicting,Unity,1,1
gijsen2022active,AIF + SciPy + Unity + scikit-learn,4,3
glybovets2025morphonas,OpenAI Gym,1,1
hashimoto2025toward,ROS,1,1
heins2023collective,AIF + JAX,2,1
heins2025axiom,AIF + MuJoCo,2,2
hesp2020deeply,AIF,1,1
hodson2023sophisticated,AIF,1,1
hoeffelen2021deep,OpenAI Gym,1,2
hoeffelen2021deep2,OpenAI Gym,1,2
horii2021active,Keras,1,1
huang2025aline,PyTorch + Unity + scikit-learn,3,6
igari2024selection,AIF + OpenAI Gym,2,1
khan2024surprise,AIF + pymdp,2,1
khan2024surprise2,AIF + pymdp,2,1
khan2024surprise3,AIF + pymdp,2,1
kidera2025evaluation,AIF + JAX + NumPy + pymdp,4,1
kiefer2022capsule,PyTorch,1,3
kiefer2022efficient,AIF + pymdp,2,1
kiefer2023relative,pymdp,1,1
kim2025emergence,AIF,1,1
kim2025emergence2,AIF + PyTorch,2,1
koudahl2021epistemics,OpenAI Gym,1,1
koudahl2023realising,pymdp,1,1
koudahl2023realising2,pymdp,1,1
laar2019simulating,OpenAI Gym,1,1
lapkovskis2025benchmarking,Stable-Baselines3,1,2
li2023return,Unity + pymdp,2,1
li2024computational,Unity,1,1
loaizaganem2019deep,TensorFlow,1,1
maele2023bridging,pymdp,1,1
malekzadeh2022active,OpenAI Gym + PyBullet,2,1
malekzadeh2024active,OpenAI Gym + PyBullet,2,1
marghi2022active,AIF + Unity,2,1
markovic2021empirical,AIF + JAX + Jupyter + NumPy + OpenAI Gym,5,2
marković2021metacontrol,AIF,1,1
matsumoto2020goaldirected,AIF,1,1
matsumoto2025active,AIF,1,1
matsumoto2025active2,AIF,1,1
mazzaglia2021contrastive,AIF + OpenAI Gym,2,1
meo2021adaptation,PyTorch + ROS,2,1
meo2021multimodal,PyTorch + ROS,2,1
meo2021nmultimodal,Gazebo + PyTorch + ROS,3,1
