Year,OpenAI Gym,pymdp,PyTorch,ROS,scikit-learn,Flux.jl,SciPy,Unity,Gazebo,JAX,TensorFlow,NumPy,PyBullet,MuJoCo,ROS2,Matplotlib,Keras,Seaborn,Jupyter,Stable-Baselines3,OpenCV,Pandas,ggplot2
2016,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2018,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2020,3,1,2,1,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2021,12,1,5,3,0,1,1,0,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0
2022,6,2,2,1,2,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2023,9,9,3,3,2,3,3,3,1,1,2,0,0,0,0,0,0,0,1,0,0,0,0
2024,10,14,4,1,1,2,1,1,0,0,0,1,3,1,0,1,0,1,1,0,1,1,1
2025,5,8,9,7,7,5,5,2,6,4,3,4,0,1,4,2,2,2,0,1,1,0,0
